study,symbol,date,strategy,maker_fee_rate,latency_ms,realized_spread,inventory_revaluation,fee_cost,net_pnl
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0,10,155.16029850001266,-803.2987907000102,0.0,-648.1384921999975
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,-5e-05,10,155.16029850001266,-803.2987907000102,-282.05111044795,-366.08738175204746
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0002,50,138.3623485500124,-790.808922800009,1117.71776085854,-1770.1643351085368
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0001,50,138.3623485500124,-790.808922800009,558.85888042927,-1211.3054546792666
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0,50,138.3623485500124,-790.808922800009,0.0,-652.4465742499966
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,-5e-05,50,138.3623485500124,-790.808922800009,-279.429440214635,-373.0171340353616
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0002,200,115.22756580001395,-714.6584212000103,1064.84048271394,-1664.2713381139363
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0001,200,115.22756580001395,-714.6584212000103,532.42024135697,-1131.8510967569664
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0,200,115.22756580001395,-714.6584212000103,0.0,-599.4308553999963
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,-5e-05,200,115.22756580001395,-714.6584212000103,-266.210120678485,-333.2207347215113
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,0.0002,10,153.63751615000496,-776.7909057500094,1098.0744010996402,-1721.2277906996446
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,0.0001,10,153.63751615000496,-776.7909057500094,549.0372005498201,-1172.1905901498244
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,0.0,10,153.63751615000496,-776.7909057500094,0.0,-623.1533896000044
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,-5e-05,10,153.63751615000496,-776.7909057500094,-274.51860027491006,-348.63478932509435
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,0.0002,50,138.49971755000445,-780.5315189500081,1096.52268188432,-1738.5544832843239
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,0.0001,50,138.49971755000445,-780.5315189500081,548.26134094216,-1190.2931423421637
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,0.0,50,138.49971755000445,-780.5315189500081,0.0,-642.0318014000037
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,-5e-05,50,138.49971755000445,-780.5315189500081,-274.13067047108,-367.9011309289237
crypto,BTCUSDT,2025-07-04,glft_imbalance_gamma_0.001_beta_2,0.0002,200,102.73018475000508,-723.2516221500092,1085.1415400744602,-1705.6629774744642
