study,symbol,date,strategy,maker_fee_rate,latency_ms,horizon_seconds,sample_count,mean_markout
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,10,60,30295,-0.033071125309457466
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,10,1,30295,-0.02659084086647919
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,10,5,30295,-0.031478223398250425
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,10,30,30295,-0.03247831973758073
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,10,60,30295,-0.033071125309457466
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,10,1,30295,-0.02659084086647919
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,10,5,30295,-0.031478223398250425
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,10,30,30295,-0.03247831973758073
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,10,60,30295,-0.033071125309457466
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,50,1,29635,-0.026334481410493934
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,50,5,29635,-0.031187996986671098
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,50,30,29635,-0.03205811710983661
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,50,60,29635,-0.03275030096507555
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,50,1,29635,-0.026334481410493934
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,50,5,29635,-0.031187996986671098
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,50,30,29635,-0.03205811710983661
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,50,60,29635,-0.03275030096507555
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,50,1,29635,-0.026334481410493934
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,50,5,29635,-0.031187996986671098
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,50,30,29635,-0.03205811710983661
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,50,60,29635,-0.03275030096507555
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,50,1,29635,-0.026334481410493934
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,50,5,29635,-0.031187996986671098
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,50,30,29635,-0.03205811710983661
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,50,60,29635,-0.03275030096507555
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,200,1,28821,-0.02470434848200925
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,200,5,28821,-0.029902170766107974
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,200,30,28821,-0.031051298338017747
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,200,60,28821,-0.031240213505777475
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,200,1,28821,-0.02470434848200925
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,200,5,28821,-0.029902170766107974
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,200,30,28821,-0.031051298338017747
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,200,60,28821,-0.031240213505777475
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,200,1,28821,-0.02470434848200925
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,200,5,28821,-0.029902170766107974
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,200,30,28821,-0.031051298338017747
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,200,60,28821,-0.031240213505777475
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,200,1,28821,-0.02470434848200925
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,200,5,28821,-0.029902170766107974
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,200,30,28821,-0.031051298338017747
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,200,60,28821,-0.031240213505777475
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,10,1,34075,-0.030120443057959682
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,10,5,34075,-0.03906722600146666
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,10,30,34075,-0.04366359717094651
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,10,60,34075,-0.04062803278650068
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,10,1,34075,-0.030120443057959682
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,10,5,34075,-0.03906722600146666
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,10,30,34075,-0.04366359717094651
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,10,60,34075,-0.04062803278650068
crypto,BTCUSDT,2025-07-02,symmetric,0.0,10,1,34075,-0.030120443057959682
crypto,BTCUSDT,2025-07-02,symmetric,0.0,10,5,34075,-0.03906722600146666
crypto,BTCUSDT,2025-07-02,symmetric,0.0,10,30,34075,-0.04366359717094651
